"consent","did_donate_account","sex","age","education","groups_don","groups_quest"
"no","No","female",69,"vmbo",NA,NA
"yes","No","female",54,"mbo",NA,10
"yes","No","female",60,"hbo",NA,6
"yes","No","female",40,"mbo",NA,NA
"yes","Yes","female",28,"hbo",126,25
"no","No","female",53,"mbo",NA,10
"no","No","female",84,"wo",NA,2
"yes","No","male",71,"hbo",NA,12
"yes","Yes","female",27,"hbo",80,50
"no","No","male",60,"primary education",NA,NA
"no","No","female",77,"primary education",NA,NA
"no","No","male",23,"havo/vwo",NA,15
"no","No","male",63,"mbo",NA,11
"yes","No","female",63,"havo/vwo",NA,4
"no","No","male",66,"hbo",NA,4
"no","No","male",57,"havo/vwo",NA,19
"no","No","male",36,"wo",NA,100
"yes","Yes","female",40,"mbo",86,10
"yes","Yes","male",69,"wo",39,15
"no","No","male",55,"wo",NA,5
"yes","No","male",31,"mbo",NA,5
"no","No","male",45,"hbo",NA,6
"no","No","female",76,"primary education",NA,2
"no","No","female",70,"mbo",NA,NA
"no","No","male",62,"wo",NA,10
"no","No","male",60,"vmbo",NA,1
"no","No","female",40,"hbo",NA,1
"no","No","male",69,"vmbo",NA,NA
"no","No","male",81,"mbo",NA,1
"yes","Yes","male",83,"hbo",3,1
"no","No","male",72,"vmbo",NA,2
"no","No","female",73,"primary education",NA,NA
"no","No","male",78,"vmbo",NA,1
"no","No","male",51,"mbo",NA,15
"no","No","female",57,"mbo",NA,2
"no","No","female",19,"vmbo",NA,7
"no","No","female",43,"wo",NA,20
"no","No","male",72,"vmbo",NA,2
"no","No","female",48,"mbo",NA,NA
"yes","No","male",27,"hbo",NA,25
"no","No","male",42,"wo",NA,8
"yes","No","female",44,"hbo",NA,2
"no","No","female",66,"havo/vwo",NA,2
"no","No","female",76,"hbo",NA,8
"yes","Yes","male",64,"hbo",2,2
"yes","Yes","male",40,"mbo",38,10
"no","No","female",63,"hbo",NA,4
"no","No","female",88,"vmbo",NA,NA
"no","No","female",74,"vmbo",NA,1
"yes","No","male",17,"havo/vwo",NA,8
"no","No","male",44,"wo",NA,20
"no","No","male",56,"havo/vwo",NA,2
"no","No","male",69,"wo",NA,NA
"yes","No","male",35,"wo",NA,10
"yes","Yes","male",65,"wo",71,25
"no","No","male",84,"hbo",NA,NA
"no","No","female",46,"wo",NA,NA
"no","No","female",62,"vmbo",NA,8
"no","No","female",79,"primary education",NA,NA
"no","No","female",49,"mbo",NA,14
"no","No","male",77,"hbo",NA,1
"no","No","male",51,"mbo",NA,10
"no","No","male",66,"hbo",NA,7
"no","No","female",57,"vmbo",NA,1
"no","No","female",25,"hbo",NA,40
"no","No","female",58,"hbo",NA,10
"yes","Yes","female",27,"wo",122,60
"no","No","female",59,"hbo",NA,2
"no","No","male",21,"primary education",NA,NA
"no","No","female",57,"hbo",NA,7
"no","No","female",42,"mbo",NA,4
"yes","No","female",37,"mbo",NA,10
"no","No","male",54,"vmbo",NA,14
"no","No","male",60,"hbo",NA,10
"no","No","male",55,"mbo",NA,NA
"no","No","female",68,"hbo",NA,2
"no","No","male",64,"vmbo",NA,NA
"no","No","female",61,"havo/vwo",NA,3
"no","No","female",35,"hbo",NA,7
"no","No","female",57,"hbo",NA,2
"no","No","male",68,"mbo",NA,4
"no","No","male",24,"hbo",NA,20
"no","No","female",20,"vmbo",NA,20
"no","No","male",54,"wo",NA,25
"no","No","male",73,"wo",NA,5
"yes","No","male",49,"hbo",NA,50
"no","No","female",69,"hbo",NA,8
"no","No","female",18,"vmbo",NA,50
"no","No","male",55,"mbo",NA,7
"no","No","male",67,"havo/vwo",NA,NA
"no","No","female",16,"primary education",NA,7
"no","No","female",83,"vmbo",NA,NA
"no","No","male",71,"havo/vwo",NA,2
"no","No","female",38,"mbo",NA,4
"yes","No","female",45,"hbo",NA,3
"no","No","female",49,"mbo",NA,NA
"no","No","male",18,"havo/vwo",NA,NA
"no","No","female",63,"hbo",NA,5
"no","No","male",75,"hbo",NA,2
"no","No","male",82,"hbo",NA,1
"no","No","female",89,"primary education",NA,NA
"no","No","female",50,"hbo",NA,8
"no","No","male",78,"wo",NA,NA
"no","No","male",83,"primary education",NA,NA
"yes","No","female",74,"vmbo",NA,NA
"yes","Yes","female",29,"wo",52,15
"no","No","male",88,"hbo",NA,NA
"no","No","female",57,"mbo",NA,NA
"yes","No","female",57,"vmbo",NA,9
"no","No","female",71,"hbo",NA,NA
"no","No","male",62,"hbo",NA,10
"no","No","female",71,"mbo",NA,4
"yes","Yes","female",42,"wo",26,10
"no","No","male",62,"vmbo",NA,4
"no","No","female",62,"havo/vwo",NA,9
"no","No","female",59,"havo/vwo",NA,3
"yes","No","male",61,"vmbo",NA,2
"no","No","male",29,"havo/vwo",NA,10
"no","No","male",61,"havo/vwo",NA,4
"no","No","female",28,"wo",NA,17
"no","No","male",80,"vmbo",NA,NA
"no","No","female",69,"havo/vwo",NA,NA
"no","No","female",73,"havo/vwo",NA,1
"no","No","female",80,"hbo",NA,1
"no","No","male",45,"mbo",NA,10
"no","No","female",71,"vmbo",NA,1
"no","No","male",86,"hbo",NA,5
"no","No","female",66,"mbo",NA,1
"no","No","female",35,"hbo",NA,12
"no","No","female",65,"havo/vwo",NA,6
"no","No","female",74,"vmbo",NA,6
"no","No","female",61,"hbo",NA,15
"no","No","female",67,"hbo",NA,NA
"no","No","male",74,"hbo",NA,6
"no","No","male",68,"hbo",NA,5
"no","No","female",37,"mbo",NA,15
"no","No","female",73,"wo",NA,5
"no","No","male",49,"mbo",NA,1
"no","No","male",31,"mbo",NA,5
"no","No","male",63,"hbo",NA,3
"yes","No","female",81,"hbo",NA,4
"no","No","female",65,"hbo",NA,1
"yes","No","male",46,"mbo",NA,2
"yes","No","female",71,"vmbo",NA,3
"yes","Yes","female",17,"primary education",59,50
"yes","Yes","female",32,"havo/vwo",54,20
"yes","No","male",30,"wo",NA,100
"no","No","male",79,"hbo",NA,2
"no","No","female",20,"primary education",NA,6
"no","No","female",61,"vmbo",NA,1
"no","No","female",64,"wo",NA,9
"yes","Yes","male",79,"havo/vwo",2,2
"no","No","female",79,"vmbo",NA,NA
"no","No","female",55,"hbo",NA,3
"no","No","female",64,"vmbo",NA,5
"no","No","female",62,"havo/vwo",NA,15
"no","No","male",62,"vmbo",NA,NA
"yes","Yes","male",53,"hbo",46,2
"no","No","female",67,"hbo",NA,10
"no","No","female",21,"havo/vwo",NA,40
"no","No","female",70,"hbo",NA,7
"no","No","male",82,"vmbo",NA,2
"no","No","female",41,"hbo",NA,10
"yes","No","female",22,"vmbo",NA,4
"no","No","female",75,"vmbo",NA,NA
"no","No","female",79,"wo",NA,2
"yes","Yes","male",29,"wo",15,5
"no","No","male",63,"vmbo",NA,1
"yes","No","male",37,"mbo",NA,10
"no","No","male",68,"hbo",NA,5
"no","No","male",37,"wo",NA,30
"no","No","female",76,"primary education",NA,NA
"no","No","male",51,"vmbo",NA,NA
"no","No","female",49,"mbo",NA,2
"no","No","female",70,"vmbo",NA,NA
"no","No","male",80,"vmbo",NA,4
"no","No","male",85,"wo",NA,NA
"no","No","female",60,"mbo",NA,10
"yes","No","male",36,"mbo",NA,5
"no","No","male",74,"wo",NA,10
"yes","No","male",18,"vmbo",NA,5
"no","No","male",63,"vmbo",NA,NA
"no","No","male",83,"primary education",NA,NA
"yes","No","female",18,"vmbo",NA,25
"no","No","female",39,"mbo",NA,5
"no","No","female",66,"vmbo",NA,2
"no","No","male",66,"mbo",NA,8
"yes","Yes","female",54,"mbo",32,20
"no","No","male",77,"hbo",NA,NA
"yes","No","female",66,"havo/vwo",NA,3
"no","No","male",25,"mbo",NA,3
"yes","No","female",33,"mbo",NA,12
"yes","No","male",68,"hbo",NA,2
"no","No","male",78,"havo/vwo",NA,3
"no","No","female",83,"hbo",NA,10
"no","No","female",63,"mbo",NA,15
"yes","Yes","male",39,"hbo",62,6
"no","No","female",16,"primary education",NA,10
"no","No","female",62,"primary education",NA,5
"no","No","female",59,"wo",NA,10
"no","No","male",75,"vmbo",NA,NA
"no","No","male",30,"wo",NA,7
"no","No","female",76,"mbo",NA,4
"no","No","female",61,"mbo",NA,2
"no","No","female",47,"mbo",NA,8
"yes","No","female",62,"mbo",NA,15
"no","No","female",52,"havo/vwo",NA,2
"no","No","male",71,"havo/vwo",NA,1
"yes","No","male",46,"mbo",NA,1
"no","No","female",63,"havo/vwo",NA,7
"yes","No","male",23,"mbo",NA,10
"no","No","female",23,"mbo",NA,10
"no","No","female",64,"hbo",NA,15
"no","No","female",61,"hbo",NA,NA
"yes","Yes","female",51,"mbo",NA,6
"no","No","male",65,"wo",NA,10
"no","No","male",65,"mbo",NA,30
"no","No","female",41,"wo",NA,12
"yes","No","male",25,"mbo",NA,15
"no","No","male",76,"mbo",NA,NA
"no","No","male",36,"hbo",NA,5
"yes","No","female",39,"vmbo",NA,8
"no","No","female",76,"vmbo",NA,NA
"no","No","female",73,"vmbo",NA,NA
"no","No","female",59,"wo",NA,30
"no","No","male",68,"hbo",NA,8
"no","No","male",67,"vmbo",NA,3
"no","No","male",34,"mbo",NA,NA
"no","No","male",22,"havo/vwo",NA,NA
"no","No","male",18,"vmbo",NA,2
"no","No","female",55,"vmbo",NA,10
"no","No","female",72,"hbo",NA,6
"no","No","male",86,"havo/vwo",NA,NA
"no","No","male",69,"vmbo",NA,2
"no","No","female",34,"havo/vwo",NA,NA
"no","No","female",62,"primary education",NA,20
"no","No","female",70,"vmbo",NA,1
"no","No","female",16,"primary education",NA,10
"no","No","male",75,"mbo",NA,1
"no","No","female",17,"primary education",NA,10
"no","No","female",56,"mbo",NA,NA
"no","No","female",71,"vmbo",NA,2
"no","No","male",66,"mbo",NA,3
"no","No","male",49,"hbo",NA,NA
"no","No","male",23,"wo",NA,NA
"yes","No","male",57,"mbo",NA,10
